Zipcode,Crime Count,Population,Crime Per Capita
60624,15082,37665,0.40042479755741406
60619,12993,62992,0.20626428752857506
60621,10138,30496,0.33243704092339976
60620,9919,69195,0.14334850784016187
60628,8577,67942,0.12624002825939773
60636,8437,34461,0.2448274861437567
60651,8126,61828,0.13142912596234715
60644,8108,49051,0.16529734358117062
60637,8107,48006,0.16887472399283424
60602,8086,1277,6.332028191072827
60649,7710,44223,0.17434366732243403
60629,7482,114129,0.06555739557868727
60623,6684,88586,0.07545210304111259
60647,6460,87707,0.07365432633655239
60617,6416,81227,0.07898851367156241
60610,6405,39345,0.16279069767441862
60612,6099,35332,0.1726197214989245
60639,6052,90767,0.0666762149239261
60614,4732,70225,0.06738341046635814
60643,4580,51028,0.08975464450889707
60615,4577,40595,0.11274787535410764
60616,4551,53331,0.08533498340552399
60641,4550,69954,0.06504274237355977
60622,4513,53680,0.08407228017883756
60657,3994,70103,0.056973310699970046
60609,3967,60994,0.0650391841820507
60607,3943,28928,0.13630392699115043
60608,3861,78877,0.04894963043726308
60625,3831,80676,0.04748624126134166
60626,3734,49416,0.07556257082726242
60653,3717,31820,0.11681332495285984
60632,3661,91644,0.039948059883898566
60618,3390,95218,0.035602512130059445
60640,3361,68258,0.04923964956488617
60642,3310,19488,0.16984811165845648
60613,3117,50553,0.06165806183609281
60660,2868,42068,0.06817533517162688
60638,2843,58990,0.04819460925580607
60659,2775,40442,0.06861678453093319
60654,2733,18148,0.15059510689883182
60652,2518,43582,0.05777614611536873
60630,2464,57531,0.04282908345066138
60605,2387,26188,0.09114861768749045
60661,2255,9697,0.23254614829328657
60603,2086,1197,1.7426900584795322
60645,1730,48269,0.035840808800679524
60634,1543,74901,0.020600526027689883
60606,1352,2959,0.4569111186211558
60707,1269,43250,0.029341040462427744
60601,1087,13887,0.07827464535176784
60604,1062,668,1.589820359281437
60656,928,26896,0.034503271861986914
60633,721,13202,0.05461293743372216
60655,636,28972,0.0219522297390584
60646,561,27865,0.02013278306118787
60631,558,29566,0.018873029831563283
60805,319,19796,0.016114366538694684
60611,217,32198,0.006739549040313063
60804,151,83735,0.001803308055174061
60803,4,22362,0.00017887487702352204
